attendance,study_hours,past_failures,assignments_completed_pct,parental_education,family_income,extracurricular,internet_access,previous_grade,final_score
59.96,8.86,3,68.34,none,High,No,Yes,100.0,60.74
100.0,9.34,3,87.54,Higher,Medium,No,Yes,68.05,89.4
74.66,9.83,0,48.53,Higher,Low,Yes,Yes,66.89,69.1
48.56,7.95,4,55.58,Secondary,Medium,No,Yes,63.42,48.32
95.56,5.17,0,40.15,Higher,Low,Yes,Yes,77.45,53.5
44.48,0.13,3,100.0,Secondary,Medium,Yes,Yes,76.46,57.76
80.22,7.79,4,74.03,Secondary,Medium,No,No,89.72,67.08
26.01,6.15,3,70.82,Secondary,Low,No,Yes,60.03,50.44
41.8,5.99,3,55.8,none,Low,Yes,Yes,100.0,62.95
79.92,7.76,3,81.98,Higher,Low,Yes,Yes,77.32,74.59
93.46,5.82,3,81.46,Higher,Low,Yes,Yes,81.04,82.14
79.28,4.22,1,75.94,Secondary,Medium,Yes,Yes,100.0,71.6
72.11,1.28,1,87.16,Secondary,Low,No,Yes,89.4,53.93
67.47,5.98,3,95.27,Higher,Medium,Yes,Yes,75.57,66.97
38.04,11.89,3,100.0,Secondary,Medium,Yes,Yes,45.18,61.76
57.0,1.59,4,57.18,Secondary,Low,No,No,86.03,47.47
63.48,10.01,3,80.75,Primary,Low,Yes,Yes,66.89,61.71
100.0,8.86,3,43.64,Secondary,High,Yes,Yes,74.41,55.45
83.59,0.0,0,61.65,Secondary,Medium,No,Yes,31.66,61.79
30.92,8.43,2,37.83,Secondary,Low,Yes,Yes,87.04,40.55
83.1,6.07,0,91.67,Primary,Low,Yes,Yes,94.64,78.98
65.37,5.67,0,69.16,Primary,High,No,Yes,84.24,71.81
58.08,13.98,4,50.16,Higher,Low,No,Yes,100.0,58.93
90.29,9.77,0,55.19,Secondary,Medium,Yes,Yes,96.43,74.59
100.0,2.29,4,80.69,Higher,Low,No,Yes,46.98,76.7
98.28,8.56,2,87.29,none,Low,No,Yes,24.81,71.0
54.02,2.33,3,100.0,Secondary,Medium,No,No,75.16,54.65
67.27,2.5,5,50.43,Secondary,High,Yes,Yes,90.08,40.53
83.28,6.64,2,88.29,Secondary,High,No,Yes,39.81,61.57
99.39,10.69,4,55.24,Higher,Low,Yes,Yes,42.99,66.29
63.02,0.05,0,95.29,Secondary,Low,Yes,Yes,67.68,71.85
70.36,3.98,2,100.0,Higher,Low,No,Yes,10.66,52.09
47.34,10.7,2,90.33,Higher,Low,Yes,Yes,47.79,64.65
45.09,2.24,1,39.69,Primary,Medium,Yes,Yes,50.87,59.28
95.31,6.13,0,72.8,Secondary,High,No,Yes,58.55,71.3
100.0,4.76,2,97.3,none,Low,Yes,Yes,52.32,74.16
73.2,11.11,0,99.69,Secondary,Low,Yes,Yes,79.2,87.91
100.0,7.28,3,95.53,Higher,Low,Yes,Yes,41.89,69.23
84.04,4.81,0,31.36,Secondary,Low,No,Yes,34.14,47.7
58.87,2.65,2,32.9,Higher,High,No,Yes,100.0,40.69
84.03,14.42,2,71.21,Higher,Low,No,Yes,92.44,76.35
100.0,5.7,2,98.94,Secondary,Low,Yes,Yes,31.43,72.2
74.1,5.09,2,90.26,none,Low,No,Yes,79.72,60.11
100.0,8.0,4,55.56,Secondary,Medium,Yes,Yes,82.27,64.68
10.0,8.88,2,76.26,Secondary,Low,Yes,Yes,100.0,46.44
95.55,0.4,5,45.7,Primary,Medium,Yes,Yes,45.39,27.14
77.18,5.24,3,71.32,Primary,Medium,Yes,Yes,85.37,56.75
67.52,1.71,3,73.9,Secondary,Low,Yes,Yes,70.2,55.33
77.29,3.74,3,70.49,Secondary,Low,Yes,Yes,100.0,61.36
25.31,11.09,4,100.0,Higher,Medium,No,Yes,92.22,48.25
69.51,10.61,4,50.58,Secondary,Low,No,Yes,83.35,67.57
83.93,8.36,0,59.97,none,Medium,No,No,80.75,71.95
100.0,,3,100.0,Secondary,Medium,Yes,Yes,72.1,70.62
62.04,6.75,3,100.0,Higher,Low,Yes,Yes,73.99,72.88
54.79,,2,86.62,Secondary,Medium,Yes,Yes,100.0,43.67
62.46,9.97,2,60.74,Higher,Low,No,Yes,81.31,66.94
97.89,3.75,2,66.26,Secondary,High,No,Yes,66.63,69.15
83.22,2.69,0,62.93,Primary,High,No,Yes,61.7,52.36
61.76,7.44,2,42.0,Secondary,Low,Yes,Yes,69.16,49.79
87.83,10.85,0,64.19,Secondary,High,No,Yes,85.64,70.69
77.43,10.27,0,80.18,Secondary,High,Yes,No,50.73,73.12
99.22,11.2,0,69.53,Secondary,Low,No,Yes,46.64,85.65
57.45,11.23,2,95.3,Secondary,High,Yes,Yes,75.4,89.39
66.81,12.53,0,69.98,none,Low,No,Yes,78.23,68.24
65.2,6.72,1,74.55,none,High,No,Yes,68.56,62.22
38.41,4.22,5,31.54,Secondary,Low,No,Yes,92.31,46.48
82.4,2.7,1,45.82,Secondary,Low,No,No,49.08,77.59
81.53,10.78,4,81.66,Secondary,Low,Yes,Yes,65.49,85.02
75.13,5.31,2,64.36,Higher,Medium,No,Yes,100.0,61.63
69.14,2.36,0,100.0,Primary,Low,No,Yes,89.05,55.15
39.62,8.09,3,56.14,Secondary,High,No,No,67.51,50.0
64.48,0.21,1,100.0,Higher,High,No,Yes,31.53,52.76
66.43,1.68,3,94.31,Secondary,Low,Yes,Yes,33.26,39.59
54.94,6.87,3,54.0,Higher,Low,No,Yes,81.04,43.76
70.97,9.53,0,83.79,Primary,Low,No,Yes,50.79,79.71
85.1,4.68,4,100.0,Higher,Low,Yes,Yes,83.96,77.74
100.0,5.07,1,50.75,Secondary,Low,Yes,Yes,48.87,61.39
79.36,9.15,1,61.06,Secondary,High,No,Yes,36.82,49.51
81.44,9.32,1,77.35,Secondary,Low,No,No,78.09,87.83
73.14,0.0,2,45.42,Secondary,Low,Yes,Yes,65.2,35.82
27.03,11.93,3,100.0,Secondary,Low,No,Yes,74.67,69.15
74.34,4.69,3,84.71,Secondary,Low,No,Yes,71.27,73.06
76.51,3.01,0,76.39,none,High,No,Yes,86.55,72.02
100.0,4.13,2,69.45,Secondary,Medium,Yes,Yes,51.69,52.43
70.19,0.54,3,31.61,Secondary,Low,No,Yes,100.0,41.63
82.54,15.0,1,82.09,Secondary,Low,Yes,No,66.98,81.88
74.13,0.78,2,100.0,Higher,Medium,No,Yes,39.28,55.88
45.78,0.01,2,33.4,Primary,Low,No,Yes,100.0,39.71
100.0,4.95,1,97.49,Secondary,Low,Yes,Yes,53.61,85.28
93.8,0.48,0,67.17,Secondary,Medium,No,Yes,57.09,61.66
94.78,6.49,3,73.63,Higher,Low,Yes,Yes,44.55,64.56
52.27,12.57,0,87.74,Higher,High,No,Yes,99.52,84.26
100.0,6.66,2,82.12,Secondary,High,No,Yes,55.46,76.81
,7.36,1,68.99,Higher,Low,Yes,No,100.0,70.75
89.67,4.84,4,32.2,Higher,Medium,Yes,Yes,100.0,61.64
100.0,1.84,3,52.32,none,Low,Yes,Yes,87.63,62.35
50.24,4.83,0,85.24,Secondary,Medium,Yes,Yes,37.3,51.41
60.84,10.22,1,68.02,Higher,Low,Yes,Yes,42.16,69.87
77.49,11.43,0,98.98,Higher,High,No,Yes,33.45,88.15
62.41,6.17,2,90.19,Secondary,Low,Yes,Yes,71.98,62.65
36.23,9.51,3,100.0,none,Medium,Yes,Yes,81.56,48.31
76.71,2.9,0,75.92,none,Medium,Yes,Yes,73.68,56.0
48.44,3.54,2,89.22,Secondary,Medium,No,Yes,59.79,48.88
86.84,0.0,2,96.18,Secondary,Low,Yes,No,71.85,50.74
52.01,,5,8.95,Secondary,Low,No,Yes,65.96,43.55
100.0,3.7,2,100.0,Higher,High,Yes,Yes,78.17,65.59
55.42,0.69,1,66.16,Higher,Low,Yes,Yes,100.0,22.73
66.95,8.01,0,49.6,Higher,High,No,Yes,54.52,52.39
95.34,11.37,0,51.11,Secondary,Low,No,Yes,49.65,80.03
44.23,4.52,0,62.4,Secondary,Medium,No,Yes,60.43,60.38
80.69,0.0,3,41.76,Secondary,Medium,No,Yes,69.74,47.75
100.0,4.7,0,55.58,Secondary,High,Yes,Yes,79.73,85.15
34.81,6.96,1,66.92,Primary,Low,Yes,Yes,89.83,60.31
79.62,8.38,2,84.96,Primary,High,Yes,Yes,92.07,59.71
81.5,9.11,1,100.0,Secondary,Low,No,Yes,74.04,68.73
94.55,6.3,2,65.04,Primary,Medium,Yes,No,4.24,56.45
44.08,4.97,1,66.29,Higher,Low,No,Yes,100.0,46.4
41.99,8.74,2,100.0,Secondary,Low,Yes,Yes,58.75,61.61
88.05,0.71,1,81.09,Secondary,Medium,Yes,Yes,88.41,68.59
82.42,2.12,3,100.0,Higher,Low,No,Yes,21.45,65.47
81.26,3.09,1,74.38,Secondary,Medium,No,Yes,100.0,80.14
83.66,4.23,1,75.54,Higher,Low,Yes,Yes,69.39,68.27
58.0,0.47,0,81.09,Secondary,High,No,Yes,100.0,54.99
,9.89,3,67.22,none,Medium,No,Yes,72.32,82.6
82.33,1.15,2,87.83,Higher,Low,Yes,Yes,97.22,61.17
57.14,0.0,1,100.0,Higher,Low,No,No,100.0,56.41
100.0,9.95,3,100.0,Primary,Medium,No,Yes,60.23,89.04
86.85,8.06,0,41.29,Secondary,High,No,No,100.0,78.26
45.22,5.76,4,33.55,Secondary,Low,No,No,93.3,28.92
91.41,7.87,0,40.05,Primary,High,No,Yes,100.0,84.3
50.63,6.43,2,35.25,none,High,No,Yes,64.04,38.98
94.68,10.65,4,49.39,Primary,Low,No,Yes,97.43,71.74
100.0,2.93,4,84.57,Secondary,Low,Yes,Yes,76.25,57.94
54.48,12.94,3,100.0,Higher,Low,No,Yes,86.46,89.63
99.08,9.79,0,80.62,Higher,High,Yes,Yes,40.41,79.11
85.32,3.57,2,79.44,Higher,High,Yes,Yes,71.96,62.93
95.55,2.94,2,48.29,Secondary,Medium,No,Yes,100.0,63.87
100.0,6.59,2,34.07,none,High,No,Yes,37.17,55.71
68.87,1.51,2,78.87,none,Medium,Yes,Yes,100.0,47.72
56.16,5.18,2,57.83,Higher,Medium,Yes,Yes,46.87,57.28
52.76,11.38,3,80.03,none,High,No,Yes,96.59,80.44
54.6,6.73,0,90.71,Higher,High,Yes,Yes,65.99,85.01
73.07,14.38,3,69.74,Higher,Low,Yes,Yes,66.58,78.69
83.53,2.92,3,94.5,Higher,Medium,Yes,Yes,85.26,66.78
81.92,7.81,0,100.0,Higher,Medium,Yes,No,61.3,78.59
95.68,3.87,0,100.0,Secondary,Low,Yes,Yes,55.91,73.33
75.33,5.17,0,74.01,Secondary,Medium,No,Yes,92.35,81.39
100.0,8.0,0,59.02,Secondary,Medium,Yes,Yes,33.05,77.27
68.38,3.07,1,81.0,Secondary,Medium,Yes,Yes,76.76,65.64
100.0,2.55,0,62.99,Secondary,Medium,No,Yes,69.62,65.96
90.64,4.14,2,41.74,Primary,High,Yes,Yes,64.75,44.52
53.57,3.85,4,75.64,Secondary,Medium,Yes,Yes,87.41,57.27
48.23,1.96,0,100.0,none,Medium,Yes,Yes,61.66,48.73
87.06,11.78,1,71.3,none,High,Yes,Yes,100.0,70.19
69.41,4.78,2,100.0,Primary,Low,No,Yes,89.31,71.07
92.85,9.32,4,100.0,Higher,Low,Yes,Yes,87.63,69.42
86.83,9.03,4,86.05,Secondary,Medium,Yes,Yes,52.13,59.35
73.18,10.1,1,50.73,Higher,Low,No,Yes,52.51,74.47
53.83,0.66,1,58.79,Higher,Low,No,Yes,61.28,36.73
37.13,4.6,2,100.0,none,Medium,No,Yes,68.28,68.92
63.84,8.75,2,84.04,Primary,Low,No,Yes,58.33,88.34
96.41,3.54,2,99.26,Higher,Low,No,Yes,81.42,79.79
80.35,11.95,2,90.64,Secondary,Low,Yes,Yes,41.47,89.44
43.86,1.09,0,83.63,Secondary,Low,Yes,Yes,41.51,56.68
79.33,9.28,3,84.36,Secondary,Low,Yes,Yes,12.19,49.12
84.63,4.21,1,61.46,Higher,Low,Yes,Yes,3.55,53.23
52.9,10.2,4,67.34,Secondary,Medium,Yes,Yes,86.68,79.03
78.84,7.08,2,80.39,Higher,High,Yes,No,60.58,69.91
76.46,2.62,0,91.93,Secondary,Low,No,Yes,99.04,75.67
46.43,9.28,0,60.59,Primary,Medium,Yes,Yes,99.02,69.75
83.94,0.0,2,54.04,Secondary,Medium,No,Yes,90.59,67.61
89.02,4.61,1,74.15,Secondary,High,Yes,Yes,45.85,84.12
100.0,4.18,4,75.64,Secondary,Medium,Yes,No,56.72,83.09
100.0,7.73,4,67.1,Higher,Low,Yes,Yes,100.0,49.05
40.56,0.0,0,47.64,Higher,High,Yes,Yes,81.31,42.24
51.55,6.93,0,100.0,Secondary,Low,No,Yes,100.0,62.27
87.88,7.49,1,57.2,Secondary,Low,Yes,Yes,11.79,49.57
87.84,2.82,1,72.98,Secondary,Low,No,Yes,94.35,71.52
87.88,4.78,4,89.79,Secondary,Low,No,Yes,90.75,69.04
100.0,6.14,3,78.9,none,Medium,Yes,Yes,83.22,54.7
89.27,9.78,5,60.48,Secondary,Low,No,Yes,66.52,52.63
100.0,0.0,2,24.02,Secondary,Low,Yes,Yes,34.37,37.9
98.85,5.77,0,100.0,Secondary,Low,Yes,Yes,100.0,100.0
91.28,7.92,1,91.48,Higher,Low,No,Yes,16.94,73.2
67.12,8.5,0,71.65,Secondary,Medium,Yes,Yes,100.0,71.81
93.97,5.13,4,49.34,Higher,Low,No,Yes,100.0,72.29
55.68,8.29,0,83.9,Secondary,Medium,No,Yes,52.61,65.14
69.08,5.71,0,100.0,Primary,Low,Yes,Yes,41.01,61.32
62.87,10.51,2,65.97,Primary,Medium,No,Yes,90.21,67.67
77.05,2.66,2,72.3,Higher,Low,Yes,Yes,96.97,56.22
100.0,3.35,1,69.1,Secondary,Medium,Yes,Yes,100.0,63.0
28.32,7.85,3,100.0,Higher,High,No,Yes,79.71,79.09
92.16,8.59,5,65.87,Higher,Medium,Yes,Yes,72.98,67.49
34.68,8.01,3,69.59,Higher,Low,Yes,Yes,81.75,39.79
63.2,4.3,1,100.0,Secondary,Low,No,Yes,76.73,68.03
100.0,4.36,0,64.7,Secondary,Low,Yes,Yes,100.0,66.11
76.61,5.95,5,100.0,Primary,High,Yes,No,65.6,68.39
48.06,1.59,2,35.48,none,Low,No,Yes,18.2,12.07
57.12,2.73,1,53.08,Higher,Medium,Yes,Yes,94.42,57.99
91.99,11.85,1,84.55,Secondary,Medium,Yes,Yes,83.31,100.0
56.74,5.33,0,100.0,Secondary,Medium,Yes,Yes,100.0,55.25
80.41,3.9,0,93.28,Secondary,Medium,Yes,Yes,100.0,78.1
76.14,3.68,3,70.41,Secondary,High,Yes,Yes,48.87,41.23
58.71,7.16,4,74.15,Secondary,Medium,Yes,Yes,87.91,77.0
100.0,14.43,5,40.05,Secondary,Medium,Yes,Yes,42.38,54.37
90.85,10.6,1,100.0,Higher,Low,Yes,Yes,48.4,71.46
24.37,0.76,0,100.0,Secondary,Low,Yes,Yes,50.99,42.6
79.66,11.13,1,44.76,Primary,Low,No,Yes,70.97,63.55
58.46,2.66,3,69.14,Primary,High,No,Yes,100.0,58.87
96.31,3.41,0,97.69,Secondary,Medium,No,Yes,100.0,89.49
55.19,4.13,1,63.63,Primary,Medium,Yes,Yes,49.5,48.53
72.13,1.3,2,75.15,Secondary,High,No,Yes,100.0,52.71
87.62,11.14,0,68.42,none,Low,Yes,Yes,63.0,92.06
96.64,3.68,0,78.15,Primary,Low,Yes,Yes,60.27,62.53
44.99,0.0,0,25.89,Higher,Medium,Yes,Yes,84.65,43.11
66.64,2.61,0,62.46,Secondary,Low,Yes,Yes,32.73,55.22
63.13,6.79,0,90.42,Primary,Medium,No,Yes,69.59,71.84
58.67,0.0,4,74.83,Secondary,Medium,Yes,Yes,87.4,45.54
100.0,7.08,0,47.48,Primary,Medium,No,No,58.35,58.66
85.12,2.45,2,33.25,Secondary,Low,No,Yes,83.69,31.1
43.48,10.46,1,83.04,Secondary,Medium,No,Yes,20.67,62.04
97.95,7.82,2,100.0,Secondary,Medium,Yes,Yes,66.49,83.82
100.0,6.32,3,49.43,Primary,Medium,Yes,Yes,36.02,75.77
100.0,0.0,3,100.0,Secondary,Low,No,Yes,76.11,58.19
37.02,0.84,4,45.29,Secondary,Medium,Yes,Yes,91.45,35.59
62.89,3.69,3,100.0,Primary,Medium,No,Yes,31.42,60.5
100.0,5.08,0,60.58,Secondary,Medium,No,Yes,31.03,62.33
57.31,12.12,1,44.52,none,Low,No,Yes,54.88,54.64
86.1,7.19,1,75.93,Secondary,Low,Yes,Yes,39.32,71.87
94.37,4.47,2,100.0,Higher,Low,No,No,56.37,74.72
51.83,11.9,5,80.8,Secondary,High,No,Yes,46.4,59.73
73.51,5.64,1,87.23,Higher,Low,Yes,Yes,93.08,63.5
10.0,7.74,0,100.0,Primary,Low,No,Yes,70.77,44.74
49.39,12.21,2,50.51,Higher,Low,No,Yes,100.0,74.14
68.69,8.87,3,77.87,Higher,High,Yes,Yes,77.13,82.56
43.81,7.77,0,100.0,Higher,Low,Yes,Yes,56.27,54.78
100.0,8.32,1,100.0,Secondary,Medium,Yes,Yes,67.58,73.02
39.25,5.74,0,70.32,Secondary,Low,Yes,Yes,45.16,34.66
64.0,6.17,4,61.26,Secondary,Medium,No,Yes,49.7,34.62
78.27,0.0,2,50.33,Secondary,Medium,No,Yes,59.75,61.53
100.0,3.16,1,78.2,Secondary,Medium,No,Yes,66.81,52.03
39.1,5.81,0,77.53,Secondary,Medium,No,No,45.94,68.26
100.0,7.85,0,90.13,Higher,High,Yes,Yes,30.3,78.74
75.26,4.26,2,83.9,Primary,Medium,No,Yes,100.0,75.91
50.46,15.0,0,77.26,Secondary,Low,Yes,Yes,69.63,94.88
86.55,9.14,2,86.42,Secondary,High,No,Yes,72.0,73.56
79.98,6.99,2,94.38,Secondary,High,No,Yes,98.45,60.53
59.99,0.22,3,4.16,Secondary,Low,Yes,Yes,34.8,30.7
76.75,5.77,1,41.17,Secondary,Medium,Yes,Yes,88.4,63.47
65.37,8.04,1,100.0,Primary,Medium,Yes,Yes,49.2,68.62
77.84,5.63,1,71.16,Secondary,Low,No,Yes,92.33,60.51
91.55,5.47,0,71.66,Secondary,High,No,Yes,90.09,66.8
100.0,5.37,1,42.35,Higher,Medium,No,Yes,74.53,49.05
44.05,3.19,1,42.77,Primary,Low,No,Yes,81.34,50.22
100.0,1.0,1,94.24,Secondary,Low,Yes,Yes,100.0,71.57
26.2,14.74,2,53.09,Secondary,Low,No,Yes,100.0,63.02
71.21,1.99,0,63.32,Secondary,Low,No,Yes,75.14,28.82
89.71,4.13,0,24.86,Secondary,Low,No,Yes,75.01,56.13
82.02,7.01,3,65.66,Secondary,High,No,Yes,100.0,59.57
59.43,0.0,3,31.79,Primary,Low,No,Yes,44.99,28.31
69.8,12.21,1,38.13,Primary,Low,Yes,Yes,64.95,52.64
62.67,10.68,1,78.24,Higher,Medium,No,No,25.49,72.22
60.27,0.0,4,27.49,Primary,Low,Yes,Yes,77.74,34.4
96.24,4.71,0,30.9,Secondary,High,Yes,Yes,82.85,65.92
83.93,9.83,4,76.63,Secondary,Low,Yes,Yes,73.93,62.13
57.68,5.91,3,59.45,Higher,High,No,Yes,68.41,52.82
97.49,10.0,3,48.26,Secondary,Low,Yes,Yes,44.0,61.2
82.68,12.11,3,71.69,Higher,Medium,Yes,No,100.0,83.56
95.32,2.68,1,96.23,Secondary,High,Yes,Yes,61.48,79.21
90.74,7.87,5,98.15,Secondary,Medium,No,Yes,25.39,82.85
54.28,1.18,2,96.12,none,High,No,Yes,49.7,43.52
61.0,4.14,3,60.89,Primary,Medium,No,Yes,100.0,72.5
93.68,6.28,2,87.04,Higher,Low,Yes,Yes,100.0,82.83
90.26,6.59,3,90.78,Secondary,High,No,Yes,49.36,63.35
74.48,2.6,2,68.66,Secondary,Low,Yes,Yes,74.09,48.35
77.93,8.39,2,49.75,Secondary,Medium,Yes,Yes,31.64,80.98
100.0,0.13,4,50.83,Primary,Low,No,Yes,73.2,38.14
60.21,2.48,2,82.72,Secondary,High,No,Yes,23.9,60.7
88.68,10.29,3,78.44,Higher,High,Yes,Yes,89.64,68.57
69.95,2.8,0,56.98,Secondary,Low,Yes,Yes,100.0,62.39
69.56,7.09,4,38.36,Higher,High,Yes,Yes,47.27,33.15
100.0,12.54,3,52.87,Higher,High,Yes,Yes,67.57,73.27
95.64,5.93,3,87.03,Secondary,Low,Yes,Yes,93.7,84.58
95.34,11.38,1,100.0,Higher,Medium,Yes,Yes,62.49,85.09
100.0,0.58,3,94.38,Secondary,Low,No,Yes,36.9,55.71
75.53,3.64,2,100.0,none,Low,No,Yes,37.99,59.33
92.05,6.88,4,89.79,Higher,Medium,No,Yes,56.34,55.75
67.24,1.87,3,100.0,Primary,Low,No,Yes,87.95,49.24
83.1,4.15,0,31.25,Higher,High,No,No,100.0,56.31
71.75,6.58,0,76.43,Primary,Low,Yes,Yes,55.32,71.82
77.42,6.67,0,100.0,none,High,Yes,Yes,84.78,58.9
89.88,4.75,4,75.68,Secondary,Low,No,Yes,90.47,57.03
54.54,0.0,2,88.16,Secondary,Low,No,Yes,99.8,26.78
100.0,3.41,1,62.65,none,Low,No,Yes,83.49,64.75
49.85,0.39,2,37.78,none,Low,Yes,Yes,49.24,28.39
44.65,5.7,1,96.98,none,Medium,No,Yes,100.0,65.31
100.0,5.84,3,95.44,Secondary,Medium,No,Yes,100.0,88.19
94.79,5.49,0,73.51,Secondary,Medium,Yes,Yes,100.0,73.18
90.6,2.23,0,71.66,Secondary,Low,Yes,Yes,70.27,69.93
90.71,0.0,3,65.79,Secondary,Low,No,Yes,100.0,50.7
74.69,,4,68.29,Secondary,Low,No,No,42.26,63.48
52.57,6.08,0,61.99,Secondary,Low,No,Yes,39.52,52.82
76.9,4.75,2,84.74,Primary,Low,Yes,Yes,18.28,54.43
58.07,5.73,2,73.61,Secondary,High,No,Yes,53.36,48.45
99.38,0.63,3,79.35,Higher,Medium,No,Yes,30.51,47.83
71.32,11.15,0,100.0,Secondary,Medium,No,Yes,100.0,88.62
54.36,3.14,3,80.15,Secondary,Low,No,Yes,93.19,46.53
66.97,5.55,2,51.46,Secondary,Low,No,Yes,96.14,40.77
85.32,7.94,1,73.65,Secondary,High,No,No,24.48,73.31
60.91,8.87,2,84.54,Secondary,Low,Yes,Yes,74.04,60.49
54.44,5.91,3,100.0,Higher,Medium,No,No,99.66,62.57
81.09,1.88,0,100.0,none,Low,Yes,Yes,75.98,85.0
81.12,8.39,3,98.69,Higher,High,No,Yes,71.67,86.38
62.33,9.4,2,20.6,Secondary,High,No,No,87.43,47.26
63.22,10.69,4,81.78,Higher,Medium,Yes,Yes,79.52,55.39
80.8,8.17,4,96.48,Higher,High,Yes,Yes,93.8,81.7
38.8,14.38,3,82.64,Secondary,Medium,Yes,Yes,54.95,58.89
39.81,6.6,2,68.14,Higher,Medium,No,Yes,79.92,50.86
57.04,6.8,1,90.45,none,Low,Yes,Yes,43.7,61.98
69.66,10.92,2,100.0,Secondary,High,Yes,Yes,27.73,76.13
82.77,12.44,0,36.58,Secondary,Medium,Yes,Yes,25.77,71.4
100.0,11.55,4,96.28,Secondary,Medium,No,Yes,40.27,67.75
96.44,5.68,2,93.23,none,Medium,No,Yes,18.29,68.55
71.0,9.05,2,50.72,Higher,Low,Yes,Yes,62.39,74.88
74.52,10.25,0,100.0,Secondary,Low,Yes,Yes,45.22,93.72
49.94,6.25,0,78.74,Secondary,Low,No,Yes,58.28,65.61
74.54,2.61,4,67.19,Secondary,High,Yes,Yes,100.0,69.48
67.78,1.99,0,67.86,none,Low,Yes,Yes,71.44,71.8
83.07,7.51,2,74.99,none,Low,Yes,Yes,83.24,54.74
54.32,9.51,0,83.18,Primary,High,Yes,Yes,51.85,71.36
87.98,4.17,2,100.0,none,Low,Yes,Yes,75.99,62.96
100.0,2.94,1,100.0,Secondary,Low,No,Yes,50.65,84.16
72.28,3.94,1,58.54,Secondary,High,Yes,Yes,77.73,58.93
85.04,6.6,4,100.0,none,Low,Yes,Yes,78.06,70.45
92.25,9.12,4,98.94,Higher,Low,No,No,54.19,75.21
64.97,7.49,1,77.26,none,Low,No,Yes,67.06,60.47
80.6,6.03,2,83.99,none,Medium,No,Yes,100.0,72.28
75.31,11.56,1,100.0,none,Medium,Yes,Yes,40.23,71.03
77.44,15.0,0,73.51,Secondary,High,Yes,Yes,57.87,83.26
55.67,6.05,3,39.64,Secondary,Medium,Yes,Yes,56.38,44.69
75.61,12.43,3,88.21,none,High,Yes,Yes,52.98,71.59
87.45,3.25,4,68.19,Secondary,Low,Yes,Yes,56.37,57.27
100.0,10.57,3,62.32,Secondary,High,Yes,Yes,55.55,71.72
98.98,2.71,4,84.61,Secondary,Medium,No,Yes,73.7,64.44
100.0,4.58,5,62.64,Higher,High,No,Yes,100.0,74.87
55.82,5.84,0,66.87,Secondary,High,No,Yes,86.27,70.85
96.81,0.0,1,50.02,Higher,Low,Yes,Yes,54.47,47.09
79.58,0.0,5,59.46,Secondary,Low,No,Yes,30.53,33.33
100.0,2.6,1,71.57,Secondary,Medium,No,No,74.88,74.58
54.79,11.3,4,78.8,Higher,High,Yes,Yes,100.0,76.03
54.01,5.04,2,71.53,Secondary,Medium,Yes,Yes,52.75,55.71
60.02,9.66,1,80.65,Higher,Low,Yes,Yes,83.37,77.0
21.9,0.0,1,68.41,Secondary,Medium,No,Yes,77.51,24.62
